observation_url,id,row_id,username,license,license_url,lat,lng,geoprivacy,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,___Arthropod_group,___Bug_photoshoot,___Arthropod_taxon,___Quantity,___Body_length_(mm),___Developmental_stage,___Activity,___Review_(Admin_Only),___Host_plant_phenology,___Host_plant_species,___Is_the_host_plant_wet_,___Host_plant_photoshoot,___Survey_method,___Time_of_survey,___Survey_duration_(mn),__Host_folivory_type_(pick_all_that_applies),__Weather,____Temperature_(C),____Windspeed__Beaufort_Scale_,___Host_folivory_score,_____Species_ID_confidence_level_(for_set_of_records)_(%),___Humidity_(%),__Track_type,__Sign_of_activity_,___Track_photoshoot,___Curator_s_Notes_(Admin_Only),Image 1,________Expertise_level_(for_this_set_of_records),Image 2
"https://www.anecdata.org/posts/view/265860","265860","613500","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.341405,-71.041484,"true","","","2024-06-25 08:39:57+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719319819_504924533-1719319616110-jpeg-1.jpeg","Anthidium manicatum","1","15","Adult","Feeding","Reviewed (CO): Set host to sp + set arthropod to sp, and decreased length from 20 to about 15 + commented the record. Note that the arthropod is a male.","Flowers or flower buds // Open flowers // Mature leaf","Stachys byzantina (woolly hedgenettle)","No","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719319818_756636779-1719319271779-jpeg-1.jpeg","Incidental","08:40:14","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265837","265837","613410","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.412214,-71.085237,"true","","","2024-06-24 16:21:59+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"","Flies","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719260758_1955108379-1719260658648-jpeg-1.jpeg","Eristalis transversa","1","8","Adult","Foraging","Reviewed (CO): Set host and arthropod to sp + increased length from 5 to 8 (guestimated in relation to flower head), the length range for this sp is 7–12 mm (0.28–0.47 in)","Flowers or flower buds // Open flowers // Mature leaf","Cirsium arvense (Californian thistle)","No","","Transect","15:40","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265836","265836","613409","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.463507,-71.160234,"true","","","2024-06-24 16:18:11+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"","Beetles","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719260479_2112664164-1719260422004-jpeg-1.jpeg","Popillia japonica","2","9","Adult","Mating","Reviewed (CO): Set host and arthropod to sp. + increased length to 9 (guestimated in relation to flower head) from 4 + informed observer that this species is 8 to 11 mm long (1/3 to 1/2 inch) and 5 to 7 mm (~1/4 inch) wide with females normally being larger than males. Also the pic of the host shows a cabbage white as well  (not recorded).","Flowers or flower buds // Open flowers // Mature leaf","Cirsium arvense (Californian thistle)","No","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719260478_1337252805-1719260357925-jpeg-1.jpeg","Transect","15:40","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265822","265822","613393","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.376085,-71.070839,"true","","","2024-06-24 15:24:19+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Grasshoppers, Crickets, and Katydids","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719257125_2033759467-1719257094816-jpeg-1.jpeg","Melanoplus","1","10","Immature","","","Increasing leaf size","Parthenocissus quinquefolia (American ivy)","No","","Transect","15:24:24","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265820","265820","613386","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.372764,-71.137702,"true","","","2024-06-24 15:19:17+0000","United States","Middlesex County","Massachusetts","Lexington",null,"","Cicadas, Leafhoppers, and Treehoppers","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256974_1695499646-1719256957669-jpeg-1.jpeg","Philaenus spumarius (meadow froghopper)","1","4","Adult","Vigilant","Reviewed (CO): Set arthropod to sp + increased length from 2 to 4 (in relation to leaf tip) – Adult meadow spittlebugs are typically about 5–7 millimeters (0.20–0.28 in).","Increasing leaf size // Mature leaf","Solidago (goldenrod)","No","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256973_832265770-1719256802102-jpeg-1.jpeg","Transect","15:19:27","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265820","265820","613394","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.372764,-71.137702,"true","","","2024-06-24 15:19:17+0000","United States","Middlesex County","Massachusetts","Lexington",null,"","Cicadas, Leafhoppers, and Treehoppers","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719257349_564192564-1719257200055-jpeg-1.jpeg","Philaenus spumarius (meadow froghopper)","1","4","Adult","Vigilant","Reviewed (CO): Set arthropod to sp + increased length from 2 to 4 (in relation to leaf tip) – Adult meadow spittlebugs are typically about 5–7 millimeters (0.20–0.28 in).","Increasing leaf size // Mature leaf","Solidago (goldenrod)","No","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256973_832265770-1719256802102-jpeg-1.jpeg","Transect","15:19:27","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265820","265820","613395","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.372764,-71.137702,"true","","","2024-06-24 15:19:17+0000","United States","Middlesex County","Massachusetts","Lexington",null,"","True Bugs","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719257350_568849344-1719257256869-jpeg-1.jpeg","Plagiognathus obscurus (obscure plant bug)","1","3","Adult","Vigilant","Other - please describe: AS - Set group to true bugs from aphids/allies. P. obscurus seems like a solid ID to me, but I'm hesitant to confirm it myself since it's hard to see the markings w the glare.","Increasing leaf size // Mature leaf","Solidago (goldenrod)","No","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256973_832265770-1719256802102-jpeg-1.jpeg","Transect","15:19:27","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265819","265819","613385","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.322694,-71.175012,"true","","","2024-06-24 15:08:21+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Beetles","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256322_460843925-1719256165508-jpeg-1.jpeg","Harmonia axyridis","1","5","Adult","Moving","Reviewed (CO): Set arthropod to sp + increased length from 3 to 5 (this one was on the small size – this sp's average body length is about 1/4 inch (6 mm) long and 1/5 inch (5 mm) wide.","Mature leaf","Betula nigra (river birch)","No","","Incidental","14:15","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265818","265818","613384","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.391732,-71.181193,"true","","","2024-06-24 15:08:37+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Flies","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256220_1764349381-1719256155854-jpeg-1.jpeg,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256221_1351568495-1719256155934-jpeg-1.jpeg,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719256222_811830142-1719256156009-jpeg-1.jpeg","Condylostylus","1","5","Adult","","","Increasing leaf size","Rubus (blackberry)","No","","Transect","15:08:42","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265817","265817","613383","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.473753,-71.089512,"true","","","2024-06-24 14:56:14+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Spiders","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719255512_321639883-1719255425579-jpeg-1.jpeg","Misumessus oblongus","1","4","Adult","Preying upon","","Mature leaf","Quercus bicolor (swamp white oak)","No","","Transect","14:56:19","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265816","265816","613382","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.313351,-71.108623,"true","","","2024-06-24 14:52:01+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","True Bugs","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719255219_1755601926-1719255159651-jpeg-1.jpeg","Poecilocapsus lineatus (fourlined plant bug)","1","5","Adult","","","Increasing leaf size","Rumex (dock)","No","","Transect","14:52:06","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265813","265813","613375","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.3869,-71.071114,"true","","","2024-06-24 14:32:05+0000","United States","Norfolk County","Massachusetts","Brookline",null,"","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719254138_588830076-1719254022062-jpeg-1.jpeg,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719254139_295541295-1719254022134-jpeg-1.jpeg","","2","5","Adult","Mating","","Increasing leaf size","Betula nigra (river birch)","No","","Area search","14:35:35","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265813","265813","613376","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.3869,-71.071114,"true","","","2024-06-24 14:32:05+0000","United States","Norfolk County","Massachusetts","Brookline",null,"","Beetles","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719254353_273474148-1719254183077-jpeg-1.jpeg","","1","5","Adult","","","Increasing leaf size","Betula nigra (river birch)","No","","Area search","14:35:35","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265813","265813","613377","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.3869,-71.071114,"true","","","2024-06-24 14:32:05+0000","United States","Norfolk County","Massachusetts","Brookline",null,"","True Bugs","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719254354_1938081825-1719254206864-jpeg-1.jpeg","","1","2","Nymph","","","Increasing leaf size","Betula nigra (river birch)","No","","Area search","14:35:35","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265813","265813","613378","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.3869,-71.071114,"true","","","2024-06-24 14:32:05+0000","United States","Norfolk County","Massachusetts","Brookline",null,"","True Bugs","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719254355_1833687918-1719254240547-jpeg-1.jpeg","","1","3","Adult","","","Increasing leaf size","Betula nigra (river birch)","No","","Area search","14:35:35","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265813","265813","613379","kateestrop","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.3869,-71.071114,"true","","","2024-06-24 14:32:05+0000","United States","Norfolk County","Massachusetts","Brookline",null,"","Cicadas, Leafhoppers, and Treehoppers","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719254356_1401455124-1719254306759-jpeg-1.jpeg","","1","3","Adult","","","Increasing leaf size","Betula nigra (river birch)","No","","Area search","14:35:35","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265756","265756","613255","jillbrogan","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.380519,-71.129749,"true","","","2024-06-24 10:28:38+0000","United States","Middlesex County","Massachusetts","Medford","`02155","","Moths and Butterflies","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719239653_JPEG_20240624_103339_2303884316501656130-jpg-1.jpeg","Malacosoma americanum (eastern tent caterpillar)","8","7","Egg, eggsac, or egg mass","Dormant or diapausing","Reviewed (CO)","Mature leaf // Other - please name or describe: second flush of leaves ","Prunus serotina (black cherry)","No","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719239650_JPEG_20240624_103237_2694604858298926172-jpg-1.jpeg","Walking","10:28","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265724","265724","613160","jillbrogan","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.473921,-71.130067,"true","","","2024-06-10 10:03:24+0000","United States","Middlesex County","Massachusetts","Medford","`02155","","Moths and Butterflies","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719232712_1000004099-1718028319649-jpeg-1.jpeg,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719232715_1000004100-1718028319975-jpeg-1.jpeg","Papilio (swallowtails)","1","22","Adult","Resting","Sp. ID in progress: CO: It could also be the spicebush swallowtail. Also, these butterflies have a body length of 0.79–1.1 in (20–28 mm). I will correct the length and relax to genus (from Papilio polyxenes) until we investigate some more.","Fruiting // Mature leaf","Vaccinium angustifolium (lowbush blueberry)","Yes","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719232709_1000004103-1718028277012-jpeg-1.jpeg","Walking","","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265696","265696","613026","saundeae","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",41.692616,-72.600743,"true","","","2024-06-23 13:45:20+0000","United States","Capitol Planning Region",null,"Hartford",null,"Unsure of activity. Could have been feeding or resting. Body length difficult to discern due to wings.","Moths and Butterflies","/img/uploads/posts/2024-06-23/_apu_2024-06-23_1719164857_photo-45-jpg-1.jpeg,/img/uploads/posts/2024-06-23/_apu_2024-06-23_1719164858_photo-46-jpg-1.jpeg","Megalographa biloba","1","16","Adult","Vigilant","Reviewed (CO): Setting it to Reviewed although host at genus, it's Japanese or Morrow's honeysuckle (not native) + increased length to 16 from 10, and added 'vigilant' activity.","Flowers or flower buds // Open flowers // Mature leaf","Lonicera (honeysuckle)","No","/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719266190_photo-47-jpg-1.jpeg,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719266193_photo-48-jpg-1.jpeg,/img/uploads/posts/2024-06-24/_apu_2024-06-24_1719266196_photo-49-jpg-1.jpeg","Incidental","13:14","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265695","265695","613024","saundeae","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",41.702591,-72.7033,"true","","","2024-06-23 13:06:00+0000","United States","Capitol Planning Region","Connecticut","Newington","`06111","2 pairs of the beetles, at least one pair was mating","Beetles","/img/uploads/posts/2024-06-23/_apu_2024-06-23_1719164706_photo-39-jpg-1.jpeg,/img/uploads/posts/2024-06-23/_apu_2024-06-23_1719164706_photo-40-jpg-1.jpeg,/img/uploads/posts/2024-06-23/_apu_2024-06-23_1719164707_photo-41-jpg-1.jpeg","Popillia japonica","4","8","Adult","Mating","Reviewed (CO): Set to species / Note that ideally you would split that record: one for the mating ones, one for the other ones - assuming there all more or less the same length, same stage, etc.","Flowers or flower buds // Open flowers // Mature leaf","Spiraea japonica (Japanese meadowsweet)","No","","Incidental","13:06","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265695","265695","613025","saundeae","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",41.702591,-72.7033,"true","","","2024-06-23 13:06:00+0000","United States","Capitol Planning Region","Connecticut","Newington","`06111","2 pairs of the beetles, at least one pair was mating","Flies","/img/uploads/posts/2024-06-23/_apu_2024-06-23_1719164708_photo-42-jpg-1.jpeg,/img/uploads/posts/2024-06-23/_apu_2024-06-23_1719164709_photo-43-jpg-1.jpeg,/img/uploads/posts/2024-06-23/_apu_2024-06-23_1719164709_photo-44-jpg-1.jpeg","Toxomerus","2","5","Adult","Moving","Sp. ID in progress: CO: Hard to tell from this angle, a shot of the dorsal would help (not that they stay in place)","Flowers or flower buds // Open flowers // Mature leaf","Spiraea japonica (Japanese meadowsweet)","No","","Incidental","13:06","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265660","265660","612927","saundeae","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",41.763666,-72.64649,"true","","","2024-06-22 14:50:00+0000","United States","Capitol Planning Region",null,"East Hartford",null,"Host plant is Coreopsis cultivar, most likely a hybrid.","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719098004_photo-34-jpg-1.jpeg,/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719098004_photo-35-jpg-1.jpeg,/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719098005_photo-36-jpg-1.jpeg","Halictini","1","7","Adult","Foraging","Sp. ID in progress: CO: Arthropod set to tribe","Flowers or flower buds // Open flowers // Mature leaf","Coreopsis (tickseed)","No","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274884_photo-50-jpg-1.jpeg,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274886_photo-51-jpg-1.jpeg,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274887_photo-52-jpg-1.jpeg","Incidental","14:50","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/265660","265660","612928","saundeae","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",41.763666,-72.64649,"true","","","2024-06-22 14:50:00+0000","United States","Capitol Planning Region",null,"East Hartford",null,"Host plant is Coreopsis cultivar, most likely a hybrid.","Flies","/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719098006_photo-37-jpg-1.jpeg,/img/uploads/posts/2024-06-22/_apu_2024-06-22_1719098006_photo-38-jpg-1.jpeg","","1","5","Adult","Resting","Sp. ID in progress: CO","Flowers or flower buds // Open flowers // Mature leaf","Coreopsis (tickseed)","No","/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274884_photo-50-jpg-1.jpeg,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274886_photo-51-jpg-1.jpeg,/img/uploads/posts/2024-06-25/_apu_2024-06-25_1719274887_photo-52-jpg-1.jpeg","Incidental","14:50","","","","","","","","","","","","","","",""
