observation_url,id,row_id,username,license,license_url,lat,lng,geoprivacy,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,___Survey_method,___Time_of_survey,___Is_the_host_plant_wet_,___Host_plant_photoshoot,___Host_plant_species,___Host_plant_phenology,___Arthropod_group,___Bug_photoshoot,___Arthropod_taxon,___Quantity,___Body_length_(mm),___Developmental_stage,___Activity,___Review_(Admin_Only),___Survey_duration_(mn),__Host_folivory_type_(pick_all_that_applies),__Weather,____Temperature_(C),____Windspeed__Beaufort_Scale_,___Host_folivory_score,_____Species_ID_confidence_level_(for_set_of_records)_(%),___Humidity_(%),___Trapping_method,__Track_type,__Sign_of_activity_,___Track_photoshoot
"https://www.anecdata.org/posts/view/266635","266635","615620","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.301714,-71.165316,"true","","","2024-07-03 14:54:46+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"TODO: Tentative id of the caterpillar - refine taxonomy + replace with better pics.","Area search","14:55:09","No","","Viburnum acerifolium (mapleleaf viburnum)","Fruiting // Mature leaf","Moths and Butterflies","/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720054888_208217472-1720054878855-jpeg-1.jpeg,/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720054889_838809880-1720054879078-jpeg-1.jpeg,/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720054890_1579232519-1720054879275-jpeg-1.jpeg,/img/uploads/posts/2024-07-04/_apu_2024-07-04_1720054892_143377412-1720054879462-jpeg-1.jpeg","Oreta rosea","4","13","Larva or caterpillar","Feeding","","10","Margin-feeding // Hole-feeding // Surface-feeding","Fair","29","3 (8-12 mph or 12-19 kmh)","Moderate (11-25%)","80","32","","","",""
"https://www.anecdata.org/posts/view/266635","266635","615621","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.301714,-71.165316,"true","","","2024-07-03 14:54:46+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"TODO: Tentative id of the caterpillar - refine taxonomy + replace with better pics.","Area search","14:55:09","No","","Viburnum acerifolium (mapleleaf viburnum)","Fruiting // Mature leaf","Beetles","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720033079_849984663-1720033005380-jpeg-1.jpeg","","1","5","Adult","Vigilant","","10","Margin-feeding // Hole-feeding // Surface-feeding","Fair","29","3 (8-12 mph or 12-19 kmh)","Moderate (11-25%)","80","32","","","",""
"https://www.anecdata.org/posts/view/266635","266635","615622","claire_2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.301714,-71.165316,"true","","","2024-07-03 14:54:46+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"TODO: Tentative id of the caterpillar - refine taxonomy + replace with better pics.","Area search","14:55:09","No","","Viburnum acerifolium (mapleleaf viburnum)","Fruiting // Mature leaf","Beetles","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720033089_1568000075-1720033038810-jpeg-1.jpeg","","1","6","Adult","Moving","","10","Margin-feeding // Hole-feeding // Surface-feeding","Fair","29","3 (8-12 mph or 12-19 kmh)","Moderate (11-25%)","80","32","","","",""
"https://www.anecdata.org/posts/view/266619","266619","615585","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.483337,-71.101503,"true","","","2024-07-03 12:36:11+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Incidental","12:36:16","No","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720024757_1000034660-1720024590920-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Beetles","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720024759_1000034661-1720024624547-jpeg-1.jpeg","Tetraopes tetrophthalmus (red milkweed beetle)","2","11","Adult","Mating","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266619","266619","615586","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.483337,-71.101503,"true","","","2024-07-03 12:36:11+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Incidental","12:36:16","No","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720024757_1000034660-1720024590920-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720024759_1000034662-1720024689052-jpeg-1.jpeg","Megachilidae (leafcutting bees)","1","7","Adult","Foraging","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266618","266618","615584","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.385886,-71.230855,"true","","","2024-07-03 12:33:52+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Incidental","12:34:01","No","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720024568_1000034702-1720024480063-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720024569_1000034710-1720024525053-jpeg-1.jpeg,/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720024571_1000034708-1720024526301-jpeg-1.jpeg,/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720024572_1000034707-1720024527213-jpeg-1.jpeg","Bombus griseocollis","2","18","Adult","Foraging","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266615","266615","615560","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.448458,-71.11936,"true","","","2024-07-03 10:15:37+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Incidental","09:50","No","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720016361_1000034639-1720016197412-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720016362_1000034639-1720016258835-jpeg-1.jpeg","Apis mellifera (honey bee)","1","16","Adult","Foraging","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266615","266615","615561","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.448458,-71.11936,"true","","","2024-07-03 10:15:37+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Incidental","09:50","No","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720016361_1000034639-1720016197412-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Beetles","/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720016363_1000034640-1720016325929-jpeg-1.jpeg,/img/uploads/posts/2024-07-03/_apu_2024-07-03_1720016364_1000034642-1720016327180-jpeg-1.jpeg","Tetraopes tetrophthalmus (red milkweed beetle)","2","11","Adult","Moving","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266554","266554","615272","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.388499,-71.155715,"true","","","2024-07-02 17:06:45+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","17:06:51","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954758_1000034638-1719954420499-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954760_1000034635-1719954458185-jpeg-1.jpeg,/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954761_1000034633-1719954459269-jpeg-1.jpeg","Bombus griseocollis","3","18","Adult","Foraging","Reviewed (CO)","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266554","266554","615273","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.388499,-71.155715,"true","","","2024-07-02 17:06:45+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","17:06:51","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954758_1000034638-1719954420499-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954763_1000034632-1719954524753-jpeg-1.jpeg","Bombus griseocollis","1","20","Adult","Foraging","Reviewed (CO): Set arthropod to B. griseocollis from B. bimaculatus","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266554","266554","615274","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.388499,-71.155715,"true","","","2024-07-02 17:06:45+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","17:06:51","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954758_1000034638-1719954420499-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Beetles","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954764_1000034607-1719954590433-jpeg-1.jpeg","Tetraopes tetrophthalmus (red milkweed beetle)","4","11","Adult","Moving","Reviewed (CO)","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266554","266554","615275","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.388499,-71.155715,"true","","","2024-07-02 17:06:45+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","17:06:51","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954758_1000034638-1719954420499-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Cicadas, Leafhoppers, and Treehoppers","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954765_1000034626-1719954626087-jpeg-1.jpeg","Graphocephala","1","4","Adult","Resting","Sp. ID in progress: CO: Could be G. fennahi","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266554","266554","615276","kristiandemary","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.388499,-71.155715,"true","","","2024-07-02 17:06:45+0000","United States","Middlesex County","Massachusetts","Arlington",null,"","Area search","17:06:51","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954758_1000034638-1719954420499-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Ants","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719954766_1000034610-1719954702543-jpeg-1.jpeg","Camponotus pennsylvanicus (black carpenter ant)","1","6","Adult","Moving","Defer to AM","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266547","266547","615238","saragardner","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.443933,-71.079801,"true","","","2024-07-02 10:37:58+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"","Area search","10:05","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719942047_photo-4-jpg-1.jpeg","Common buttonbush","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719942050_photo-5-jpg-1.jpeg","Western honey bee","2","12","Adult","Foraging","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266547","266547","615239","saragardner","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.443933,-71.079801,"true","","","2024-07-02 10:37:58+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"","Area search","10:05","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719942047_photo-4-jpg-1.jpeg","Common buttonbush","Flowers or flower buds // Open flowers // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719942053_photo-7-jpg-1.jpeg","Modest masked bee","5","8","Adult","Foraging","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266547","266547","615240","saragardner","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.443933,-71.079801,"true","","","2024-07-02 10:37:58+0000","United States","Middlesex County","Massachusetts","Cambridge",null,"","Area search","10:05","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719942047_photo-4-jpg-1.jpeg","Common buttonbush","Flowers or flower buds // Open flowers // Mature leaf","Moths and Butterflies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719942056_photo-8-jpg-1.jpeg","Vanessa atalanta (red admiral)","1","19","Adult","Feeding","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266544","266544","615220","bluejay2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.481715,-71.236845,"true","","","2024-07-02 11:28:03+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Incidental","11:28:09","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719934276_photo-192-jpg-1.jpeg,/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719934280_photo-193-jpg-1.jpeg","Solidago (goldenrod)","Flowers or flower buds // Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719934282_photo-194-jpg-1.jpeg,/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719934285_photo-195-jpg-1.jpeg,/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719934286_photo-196-jpg-1.jpeg","Cucullia","1","11","Larva or caterpillar","Moving","Sp. ID in progress: CO: Updated the arthropod group from Hymenoptera to Lepidoptera + set taxon unit to Cucullia","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266544","266544","615221","bluejay2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.481715,-71.236845,"true","","","2024-07-02 11:28:03+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Incidental","11:28:09","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719934276_photo-192-jpg-1.jpeg,/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719934280_photo-193-jpg-1.jpeg","Solidago (goldenrod)","Flowers or flower buds // Mature leaf","Harvestman","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719934288_photo-197-jpg-1.jpeg","Opiliones (daddy longlegs)","1","6","Adult","","Sp. ID in progress: CO: Taxon unit set to order","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266543","266543","615219","bluejay2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.381518,-71.154434,"true","","","2024-07-02 11:24:10+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Incidental","11:24:18","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719933925_photo-188-jpg-1.jpeg","","Mature leaf","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719933928_photo-189-jpg-1.jpeg,/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719933931_photo-190-jpg-1.jpeg,/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719933938_photo-191-jpg-1.jpeg","","1","21","","","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266535","266535","615191","jillbrogan","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.39902,-71.097649,"true","","","2024-07-01 10:09:28+0000","United States","Middlesex County","Massachusetts","Medford","`02155","","Walking","10:09:39","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719931839_JPEG_20240701_100946_4686398414392309880-jpg-1.jpeg","Prunus serotina (black cherry)","Mature leaf","Moths and Butterflies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719931841_JPEG_20240701_101109_5855552207727651695-jpg-1.jpeg","Malacosoma americanum (eastern tent caterpillar)","10","13","Egg, eggsac, or egg mass","Resting","","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266524","266524","615141","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.476826,-71.166211,"true","","","2024-07-02 08:17:59+0000","United States","Middlesex County","Massachusetts","Lexington",null,"","Incidental","08:18:08","No","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719922856_312640916-1719922698044-jpeg-1.jpeg","Asclepias syriaca (common milkweed)","Flowers or flower buds // Open flowers // Mature leaf","Beetles","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719922863_1783364541-1719922735428-jpeg-1.jpeg","Tetraopes tetrophthalmus (red milkweed beetle)","2","12","Adult","Mating","Reviewed (CO): Set host and beetle to sp + added open flowers phenophase + corrected length from 4 to 12 (average body length for this species is 12-15 mm)","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266522","266522","615138","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.32714,-71.140908,"true","","","2024-07-01 15:18:36+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Transect","15:19:21","No","","Solidago (goldenrod)","Increasing leaf size // Mature leaf","Spiders","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719922058_1127781274-1719861893571-jpeg-1.jpeg","Paraphidippus aurantius","1","8","Adult","Guarding","Reviewed (CO): Set host to genus from text input + set arthropod to sp + adjusted length from 3 to 8 (Paraphidippus aurantius' average body length is 7-12 depending on sex, additionally can see it is much bigger than the aphid) + Corrected activity from guarding to vigilant","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266522","266522","615139","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.32714,-71.140908,"true","","","2024-07-01 15:18:36+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Transect","15:19:21","No","","Solidago (goldenrod)","Increasing leaf size // Mature leaf","Aphids and Allies","/img/uploads/posts/2024-07-02/_apu_2024-07-02_1719922063_1955521491-1719861743059-jpeg-1.jpeg","Uroleucon","1","2.5","Adult","Vigilant","Sp. ID in progress: CO: Set taxon unit to genus (tentative) + adjusted length from 1 to 2.5","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266451","266451","614947","jamestague","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.318524,-71.05052,"true","","","2024-07-01 15:03:52+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Transect","15:03:57","No","/img/uploads/posts/2024-07-01/_apu_2024-07-01_1719860889_123662786-1719860668086-jpeg-1.jpeg","Cryptantha crassisepala (deertongue)","Flowers or flower buds // Fruiting // Mature leaf","Flies","/img/uploads/posts/2024-07-01/_apu_2024-07-01_1719860891_228749307-1719860745719-jpeg-1.jpeg","Physocephala tibialis","1","10","Adult","Vigilant","Sp. ID in progress: CO: Refined to sp + increased body length to 10 from 6 / It looks like they have a longer average body length (to investigate).","","","","","","","","","","","",""
"https://www.anecdata.org/posts/view/266450","266450","614946","bluejay2","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",42.45936,-71.151574,"true","","","2024-07-01 15:03:02+0000","United States","Middlesex","Massachusetts","Cambridge",null,"","Area search","15:03:13","Yes","/img/uploads/posts/2024-07-01/_apu_2024-07-01_1719860729_photo-182-jpg-1.jpeg","","Open flowers // Mature leaf // Withered","Bees, Wasps, and Sawflies","/img/uploads/posts/2024-07-01/_apu_2024-07-01_1719860730_photo-183-jpg-1.jpeg,/img/uploads/posts/2024-07-01/_apu_2024-07-01_1719860732_photo-184-jpg-1.jpeg","","1","17","Adult","Resting","","","","","","","","","","","","",""
