observation_url,id,row_id,username,hotspot,event,observed,municipality,observation_notes,___Arthropod_group,___Arthropod_taxon,___Quantity,___Body_length_(mm),___Developmental_stage,___Activity,___Review_(Admin_Only),___Survey_duration_(mn),__Host_folivory_type_(pick_all_that_applies),__Weather,____Temperature_(C),____Windspeed__Beaufort_Scale_,___Host_plant_phenology,___Host_plant_species,___Host_folivory_score,_____Species_ID_confidence_level_(for_set_of_records)_(%),___Is_the_host_plant_wet_,___Host_plant_photoshoot,___Survey_method,___Time_of_survey,___Humidity_(%),__Track_type,__Sign_of_activity_,___Track_photoshoot
https://www.anecdata.org/posts/view/265548,265548,612629,saundeae,,,2024-06-21 15:43:34+0000,Wethersfield,Not certain of rudbeckia sp. Will update when it blooms :),Beetles,Propylaea quatuordecimpunctata,1,4,Adult,Resting,,,,,,,Mature leaf,Rudbeckia triloba (brown eyed susan),,,No,,Incidental,14:20,,,,
https://www.anecdata.org/posts/view/265545,265545,612625,saundeae,,,2024-06-21 15:32:57+0000,Hartford,,"Bees, Wasps, and Sawflies",Ceratina,1,7,Adult,Foraging,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Achillea millefolium (bloodwort),,,No,,Incidental,14:17,,,,
https://www.anecdata.org/posts/view/265545,265545,612624,saundeae,,,2024-06-21 15:32:57+0000,Hartford,,Harvestman,Opiliones (daddy longlegs),1,4,Adult,Resting,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Achillea millefolium (bloodwort),,,No,,Incidental,14:17,,,,
https://www.anecdata.org/posts/view/265545,265545,612623,saundeae,,,2024-06-21 15:32:57+0000,Hartford,,Moths and Butterflies,Lepidoptera (butterflies),1,15,Larva or caterpillar,Feeding,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Achillea millefolium (bloodwort),,,No,,Incidental,14:17,,,,
https://www.anecdata.org/posts/view/265534,265534,612587,kristiandemary,,,2024-06-21 11:44:55+0000,Cambridge,"Smaller milkweed beetle might be a male, larger one might be female","Bees, Wasps, and Sawflies",Apis mellifera (honey bee),2,12,Adult,Foraging,Reviewed (CO),,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718984802_1000030366-1718984713131-jpeg-1.jpeg,Area search,11:45:01,,,,
https://www.anecdata.org/posts/view/265534,265534,612588,kristiandemary,,,2024-06-21 11:44:55+0000,Cambridge,"Smaller milkweed beetle might be a male, larger one might be female",Beetles,Tetraopes tetrophthalmus (red milkweed beetle),1,10,Adult,Moving,Reviewed (CO),,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718984802_1000030366-1718984713131-jpeg-1.jpeg,Area search,11:45:01,,,,
https://www.anecdata.org/posts/view/265534,265534,612591,kristiandemary,,,2024-06-21 11:44:55+0000,Cambridge,"Smaller milkweed beetle might be a male, larger one might be female",Beetles,Tetraopes tetrophthalmus (red milkweed beetle),1,13,Adult,Resting,Reviewed (CO),,,,,,Flowers or flower buds // Open flowers // Mature leaf,Asclepias syriaca (common milkweed),,,No,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718984802_1000030366-1718984713131-jpeg-1.jpeg,Area search,11:45:01,,,,
https://www.anecdata.org/posts/view/265519,265519,612530,lincolnellsworth,,,2024-06-21 10:39:52+0000,Somerville,,"Cicadas, Leafhoppers, and Treehoppers",Cicadellidae (cicadellids),1,4,Adult,Resting,Sp. ID in progress: CO: Corrected Arthropod group from flies to leafhopper + refined taxon to Cicadellidae,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,,Area search,10:43:55,,,,
https://www.anecdata.org/posts/view/265519,265519,612529,lincolnellsworth,,,2024-06-21 10:39:52+0000,Somerville,,Flies,,2,3,Adult,Resting,Sp. ID in progress: CO: Corrected Arthropod group from planthopper to flies,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,,Area search,10:43:55,,,,
https://www.anecdata.org/posts/view/265517,265517,612526,lincolnellsworth,,,2024-06-21 10:29:00+0000,Winchester,,Moths and Butterflies,Geometridae (cankerworms),1,4,Larva or caterpillar,Resting,Sp. ID in progress: CO: Set taxon to Geometridae,,,,,,Fruiting // Mature leaf,Sassafras albidum (sassafras),,,Yes,"/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980474_photo-21-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980479_photo-22-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980484_photo-23-jpg-1.jpeg",Area search,10:29:05,,,,
https://www.anecdata.org/posts/view/265517,265517,612525,lincolnellsworth,,,2024-06-21 10:29:00+0000,Winchester,,Aphids and Allies,,1,2,Adult,Moving,Sp. ID in progress: CO: Corrected group from Flies to Aphids and allies,,,,,,Fruiting // Mature leaf,Sassafras albidum (sassafras),,,Yes,"/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980474_photo-21-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980479_photo-22-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980484_photo-23-jpg-1.jpeg",Area search,10:29:05,,,,
https://www.anecdata.org/posts/view/265517,265517,612524,lincolnellsworth,,,2024-06-21 10:29:00+0000,Winchester,,Beetles,Elateridae (click beetles),1,10,Adult,Resting,Sp. ID in progress: CO: Set host to sp + Refined arthropod to family,,,,,,Fruiting // Mature leaf,Sassafras albidum (sassafras),,,Yes,"/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980474_photo-21-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980479_photo-22-jpg-1.jpeg,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718980484_photo-23-jpg-1.jpeg",Area search,10:29:05,,,,
https://www.anecdata.org/posts/view/265513,265513,612515,lincolnellsworth,,,2024-06-21 10:05:33+0000,Winchester,,,Lepidoptera (butterflies),,,,,,,,,,,Mature leaf,Quercus alba (white oak),,,Yes,,Area search,10:05:36,,,,
https://www.anecdata.org/posts/view/265512,265512,612514,claire_2,,,2024-06-21 09:53:40+0000,Winchester,,Moths and Butterflies,,1,,,,,,,,,,Mature leaf,Quercus alba (white oak),,,Yes,,Walking,9:53:52,,Cocoon,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718978147_21154336-1718978117923-jpeg-1.jpeg
https://www.anecdata.org/posts/view/265510,265510,612512,lincolnellsworth,,,2024-06-21 09:48:50+0000,Medford,,Beetles,,2,,,,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977959_photo-17-jpg-1.jpeg,Area search,9:49:07,,Leaf shelter,No,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977966_photo-16-jpg-1.jpeg
https://www.anecdata.org/posts/view/265509,265509,612511,lincolnellsworth,,,2024-06-21 09:31:57+0000,Winchester,,Flies,,1,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977271_photo-9-jpg-1.jpeg,Transect,9:32:04,,,,
https://www.anecdata.org/posts/view/265509,265509,612510,lincolnellsworth,,,2024-06-21 09:31:57+0000,Winchester,,Ants,,1,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977271_photo-9-jpg-1.jpeg,Transect,9:32:04,,,,
https://www.anecdata.org/posts/view/265509,265509,612509,lincolnellsworth,,,2024-06-21 09:31:57+0000,Winchester,,"Bees, Wasps, and Sawflies",,1,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977271_photo-9-jpg-1.jpeg,Transect,9:32:04,,,,
https://www.anecdata.org/posts/view/265509,265509,612508,lincolnellsworth,,,2024-06-21 09:31:57+0000,Winchester,,Flies,,2,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718977271_photo-9-jpg-1.jpeg,Transect,9:32:04,,,,
https://www.anecdata.org/posts/view/265507,265507,612498,felixflax,,,2024-06-21 09:24:16+0000,Newton,,"Bees, Wasps, and Sawflies",Apoidea (apoid wasps),4,13,Adult,Foraging,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Viburnum (viburnum),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976565_JPEG_20240621_092422_5121834805888162304-jpg-1.jpeg,Walking,9:24:20,,,,
https://www.anecdata.org/posts/view/265507,265507,612497,felixflax,,,2024-06-21 09:24:16+0000,Newton,,Flies,Syrphidae (syrphes),1,7,Adult,,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Viburnum (viburnum),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976565_JPEG_20240621_092422_5121834805888162304-jpg-1.jpeg,Walking,9:24:20,,,,
https://www.anecdata.org/posts/view/265507,265507,612496,felixflax,,,2024-06-21 09:24:16+0000,Newton,,"Bees, Wasps, and Sawflies",Apoidea (apoid wasps),1,13,Adult,Foraging,,,,,,,Flowers or flower buds // Open flowers // Mature leaf,Viburnum (viburnum),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976565_JPEG_20240621_092422_5121834805888162304-jpg-1.jpeg,Walking,9:24:20,,,,
https://www.anecdata.org/posts/view/265503,265503,612481,lincolnellsworth,,,2024-06-21 09:23:02+0000,Winchester,,Flies,,1,9,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976314_photo-6-jpg-1.jpeg,Transect,9:23:11,,,,
https://www.anecdata.org/posts/view/265502,265502,612480,lincolnellsworth,,,2024-06-21 09:19:23+0000,Winchester,,Flies,,1,4,Adult,Moving,,,,,,,Mature leaf,Quercus rubra (northern red oak),,,Yes,/img/uploads/posts/2024-06-21/_apu_2024-06-21_1718976185_photo-5-jpg-1.jpeg,Transect,9:19:34,,,,
